SMILES;Output
Cc1[nH]c(=O)[nH]c1C(=O)c1ccc(-n2ccnc2)cc1;0
C(=Nc1cnc2ccccc2c1)c1ccc2ccccc2n1;0
O=C1c2ccc3cc(CCl)cc(O)c3c2C(=O)c2cccc(O)c21;0
CCCCCCCCCCCCCCCCCCSCC(COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(=O)[nH]c2=O)CC1N=[N+]=[N-])OC(=O)CCCCCCCCCCCCCCC.[NaH];1
CCOC(=O)c1c(NS(=O)(=O)c2ccc(C)cc2)sc2c1CCCC2;0
COC12CC(=O)C(=C(O)C=Cc3ccccc3)C(=O)C1(O)Cc1ccccc1O2;0
O=C1CSC(=Nc2ccccc2)N1c1ncccn1;0
C=C(CCCC(C)=CC=CC1(C)CCCc2ccoc21)CC(=O)O;0
CC1=[O+][V-]2(=O)([O+]=C(C)C1)[O+]=C(C)CC(C)=[O+]2;0
O=c1c(=Cc2ccco2)sc2nc3ccccc3n12;0
CC1=C(c2ccccc2)CON(c2ccccc2)C1;0
N#Cc1c(N)oc(-c2ccccc2)c1-c1ccccc1;0
C[n+]1ccn2c3nc4ccccc4nc3c([O-])c(C#N)c21;0
CC(C)OP(=O)(OC(C)C)C(=NNc1ccc([N+](=O)[O-])cc1)NN;0
CCN(CC)c1ccc2c(c1)Oc1ccc(N(C(C)=O)c3ccccc3)cc1C21OC(=O)c2ccccc21;0
NC1=c2nc(-c3ccccc3)c(-c3ccccc3)nc2=NS(=O)(O)=N1;0
O=C1OC(=C(Br)c2ccc([N+](=O)[O-])cc2)c2ccccc21;0
COc1ccc(NC(=O)C(=O)C2CNC(=O)NC2=O)c(OC)c1;0
Cc1cn(C2CC(F)C(CO)O2)c(=O)[nH]c1=O;1
CCOC(=O)c1sc2c(c1O)c(=O)n(-c1ccccc1)c(=S)n2-c1ccccc1;0
COc1cc(-c2cccs2)sc1-c1cccs1;0
N=C(N)NS(=O)(=O)c1ccc(N=c2c3ccccc3n(Cc3ccccc3)c3ccccc23)cc1;0
O=P(OC1=CCCCC1)(c1ccccc1)c1ccccc1;0
Cc1cc(Cl)ccc1NC(=O)C1C(=O)C(=O)N(c2ccc(Cl)cc2C)C1=O;0
Cc1cc(C)c(C(=O)C(=Cc2ccccc2)c2ccccc2)c(C)c1;0
CCN(CC)C1Oc2cc3c(cc2C(c2cccc(OC)c2O)C1C)OCO3;0
COC(=O)C1(Cc2ccc3c(c2)CCC3)Cc2ccc3c(c2C1O)CCC3;0
N#Cc1c(Cl)c2ccccc2n2c1nc1ccccc12;0
Cc1c2ccnc(C(N)=O)c2c(C)c2c1[nH]c1ccccc12;0
O=C(O)c1cccc(OCCOc2cccc(C(=O)O)c2[N+](=O)[O-])c1[N+](=O)[O-];0
C=C1C2CCC(C)(C)C1CCC(=O)C2C(=O)OC;0
C[Sn]1(C)OC(=O)CCN=Cc2c(ccc3ccccc23)O[Sn](C)(C)OC(=O)CCN=Cc2c(ccc3ccccc23)O1;0
CC(=NNC(=O)c1ccccc1O)c1c(O)cc(C)oc1=O;0
Fc1cccc(NC2=NCC(CI)S2)c1;0
COC1CCCCC1C(N)C(=O)O.NC(C(=O)O)C1=CCCCC1;0
COc1ccc(C2=NOC(N)(c3ccc(OC)cc3)C2)cc1;0
COc1ccc(NC(=O)CC(=O)N2N=C(C)C(N=Nc3ccc(C(=O)O)cc3)C2=O)cc1;0
NC(CCc1nc(-c2ccc(Cl)cc2)cs1)C(=O)O;0
Cn1c2ccccc2n2c(=O)c3cc([N+](=O)[O-])ccc3c(C#N)c12;0
C(#Cc1ccccc1)SC1=C(c2ccccc2)SC(=C(SC#Cc2ccccc2)c2ccccc2)S1;0
CCOC(=O)C(C(=S)NC)=C(N)N1CCCC1;0
C#CC1(O)CCC2C3CCc4cc(Oc5nc(F)nc(-c6c7ccccc7c7n6CCS7)n5)ccc4C3CCC21C;0
CC1=NNC(=O)C1C1CC(c2c[nH]c3ccccc23)=NN=C1Cl;0
CC1(Cl)C(=O)NC(=O)N(C2CC(N=[N+]=[N-])C(CO)O2)C1N=[N+]=[N-];1
Cc1cn(C2CC(OC(c3ccccc3)(c3ccccc3)c3ccccc3)C(COC(c3ccccc3)(c3ccccc3)c3ccccc3)O2)c(=O)[nH]c1=O;0
CNC(=O)C(CC(C)C)NC(=O)CNC(=O)C(Cc1ccc(OCc2ccccc2)cc1)NC(=O)C(COCc1ccccc1)NC(C)=O;0
Cl.Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1;0
O=CC1(c2ccccc2)NC(=O)NC1=O;0
CCOC(=O)C(=Cc1ccc(N(C)C)cc1)C(=O)c1ccccc1;0
C[Si](C)(C)C(I)=CCO;0
O=C(O)CCCc1ccc2c(c1)CC1(C2)Cc2cc3c(cc2C1)CCCC3;0
CC1(C)COC(C2(C)C(=O)C=C(c3ccccc3)c3ccccc32)=N1;0
CC(C)NCCNC(=O)c1ccccc1Nc1c(Cl)cccc1Cl.Cl;0
CCOC(=O)CCC(NC(=O)C(CC(=O)OC)NC(=O)C(CC(=O)OC)NC(=O)C(CC(=O)OC)NC(=O)C(CC(=O)OC)NC(=O)OCc1ccccc1)C(=O)NC(CCC(=O)OCC)C(=O)NC(CCC(=O)OCC)C(=O)OCC;0
CC(=O)Nc1ccc(C=C(C#N)c2ccc(C)cc2)cc1;0
CCOC(=O)C(O)=C(C(=O)OC)c1ccc(Cl)cc1.[NaH];0
CCN(CC)C(=O)N1CN(c2ccccc2)C2(CCN(CCCSc3ccc(F)cc3)CC2)C1=O.Cl;0
Nc1ccc2c(c1)C1Oc3ccccc3CC1CO2;0
